,open,high,low,close,volume,value
2017-09-25 09:00:00,324500.0,326500.0,320000.0,325000.0,1421.85542702,459010091.79589
2017-09-26 09:00:00,325000.0,328500.0,320000.0,321500.0,0.0516,16747.8
2017-09-27 09:00:00,321000.0,342500.0,320000.0,342500.0,0.0507,16672.25
2017-09-28 09:00:00,342000.0,346500.0,327000.0,332500.0,0.0497,16705.75
2017-09-29 09:00:00,331000.0,333500.0,312500.0,327500.0,0.0523,17046.65
2017-09-30 09:00:00,327500.0,341500.0,327000.0,341000.0,0.0525,17575.15
2017-10-01 09:00:00,341000.0,344500.0,331500.0,342000.0,0.0524,17811.15
2017-10-02 09:00:00,342000.0,346000.0,336500.0,340000.0,0.0524,17889.55
2017-10-03 09:00:00,340000.0,345500.0,324000.0,338000.0,0.0487,16378.6
2017-10-04 09:00:00,336000.0,343000.0,333500.0,338000.0,0.0473,16030.35
2017-10-05 09:00:00,339500.0,341500.0,333000.0,337500.0,0.0477,16107.5
2017-10-06 09:00:00,338000.0,357000.0,335500.0,356000.0,0.0494,16913.65
2017-10-07 09:00:00,356000.0,360000.0,349500.0,354500.0,0.0521,18422.3
2017-10-08 09:00:00,353000.0,357000.0,341000.0,349500.0,0.0519,18267.4
2017-10-09 09:00:00,349500.0,354000.0,334000.0,339500.0,0.0519,17989.05
2017-10-10 09:00:00,340500.0,353000.0,334000.0,344000.0,0.0516,17777.95
2017-10-11 09:00:00,348000.0,352500.0,342500.0,348000.0,0.0511,17765.9
2017-10-12 09:00:00,350500.0,356500.0,345000.0,354000.0,0.0511,17956.15
2017-10-13 09:00:00,352000.0,400000.0,347000.0,384000.0,0.0512,19307.95
2017-10-14 09:00:00,384500.0,398500.0,377500.0,383000.0,0.0515,20074.65
2017-10-15 09:00:00,383500.0,390500.0,363000.0,377000.0,0.0515,19456.75
2017-10-16 09:00:00,380500.0,398500.0,371500.0,377000.0,0.0504,19287.5
2017-10-17 09:00:00,376500.0,377500.0,353500.0,360000.0,0.0599,22072.7
2017-10-18 09:00:00,361000.0,366500.0,334500.0,360500.0,81.0197,28484957.9
2017-10-19 09:00:00,361500.0,365000.0,345500.0,352500.0,235.0,83045000.0
2017-10-20 09:00:00,347000.0,356000.0,344500.0,351000.0,64.94,22798945.0
2017-10-24 09:00:00,351500.0,364000.0,342500.0,348500.0,2.19,775110.0
2017-10-25 09:00:00,349500.0,352000.0,333000.0,344500.0,2.34,803505.0
2017-10-26 09:00:00,343000.0,349500.0,336500.0,339500.0,2.34,799310.0
2017-10-27 09:00:00,343000.0,347500.0,339000.0,343500.0,2.35,807050.0
2017-10-28 09:00:00,344500.0,348000.0,339000.0,345500.0,2.17,743845.0
2017-10-29 09:00:00,344500.0,360000.0,336500.0,342000.0,2.35,812775.0
2017-10-30 09:00:00,343000.0,353500.0,342500.0,349000.0,3.52,1225495.0
2017-10-31 09:00:00,348500.0,398500.0,343000.0,349500.0,2.0,700937.075
2017-11-01 09:00:00,350000.0,353000.0,328500.0,333500.0,2.22,760380.0
2017-11-02 09:00:00,333500.0,341500.0,319500.0,332000.0,2.31,766765.0
2017-11-03 09:00:00,335500.0,352000.0,327500.0,348500.0,2.31,779485.0
2017-11-04 09:00:00,347000.0,348500.0,325500.0,340000.0,2.31,779360.0
2017-11-05 09:00:00,339500.0,340500.0,332000.0,336000.0,1.5,505950.0
2017-11-06 09:00:00,340000.0,353200.0,292500.0,345750.0,118.79046062,40102331.892955
2017-11-07 09:00:00,349150.0,356200.0,335000.0,338200.0,7008.22572233,2401561611.0961633
2017-11-08 09:00:00,338200.0,359500.0,333000.0,346000.0,11149.34168822,3825702860.201195
2017-11-09 09:00:00,345950.0,372950.0,339500.0,364200.0,12726.96001463,4560721281.094539
2017-11-10 09:00:00,364150.0,365600.0,337000.0,341100.0,11413.55512289,4012681528.784451
2017-11-11 09:00:00,341100.0,362650.0,337000.0,357350.0,13382.29249789,4685404903.948631
2017-11-12 09:00:00,357300.0,377000.0,339350.0,368400.0,30914.83671782,11034373717.585974
2017-11-13 09:00:00,368400.0,407000.0,355600.0,361450.0,38377.18664656,14176928045.53942
2017-11-14 09:00:00,361500.0,390100.0,360700.0,385000.0,43522.52053264,16328264563.31769
2017-11-15 09:00:00,384650.0,385250.0,376200.0,379400.0,33394.04288914,12698924432.47059
2017-11-16 09:00:00,379400.0,380700.0,360050.0,365200.0,49469.57741595,18261918897.606388
2017-11-17 09:00:00,364500.0,370000.0,362300.0,367950.0,56043.52171217,20538283575.259045
2017-11-18 09:00:00,367950.0,386300.0,363350.0,383650.0,53569.9690901,19838419784.92256
2017-11-19 09:00:00,383650.0,414950.0,378450.0,388600.0,63712.22758214,25052649702.704475
2017-11-20 09:00:00,388600.0,408000.0,384400.0,398650.0,78974.75402981,31116827844.40967
2017-11-21 09:00:00,398650.0,408500.0,380050.0,397600.0,80724.41454353,32234005288.559544
2017-11-22 09:00:00,397600.0,421050.0,396000.0,419200.0,98159.00077617,39669293374.38521
2017-11-23 09:00:00,419200.0,470000.0,412050.0,452450.0,127814.95902762,55970079801.459175
2017-11-24 09:00:00,451950.0,536300.0,448000.0,528100.0,149114.84339339,72112701964.94736
2017-11-25 09:00:00,528200.0,545000.0,484050.0,518900.0,71186.98900971,36999243770.21224
2017-11-26 09:00:00,519000.0,522500.0,505000.0,521000.0,72576.56654119,37331679438.916435
2017-11-27 09:00:00,521000.0,557500.0,519500.0,548800.0,80859.53885339,43578081882.181755
2017-11-28 09:00:00,548600.0,566000.0,539900.0,564000.0,96628.10638433,53196199266.12396
2017-11-29 09:00:00,564800.0,629000.0,470000.0,484000.0,135429.72022765,78158891440.75629
2017-11-30 09:00:00,485100.0,544300.0,438950.0,519900.0,112846.61052283,56279076558.53896
2017-12-01 09:00:00,519800.0,540300.0,490000.0,534000.0,85223.845345,43927989823.2173
2017-12-02 09:00:00,531900.0,554400.0,517000.0,540300.0,33842.12877563,18322543666.491016
2017-12-03 09:00:00,540300.0,550000.0,527000.0,540000.0,59017.27737244,31985377508.623253
2017-12-04 09:00:00,540000.0,550200.0,536800.0,547800.0,56592.75692448,30816440590.476616
2017-12-05 09:00:00,547800.0,573300.0,547000.0,568100.0,89368.57076907,49573030999.07184
2017-12-06 09:00:00,568100.0,576100.0,305000.0,554500.0,67870.44918688,38169078371.84317
2017-12-07 09:00:00,554500.0,597800.0,518900.0,586500.0,60978.93819138,34243023362.94779
2017-12-08 09:00:00,586500.0,600000.0,512000.0,564200.0,55715.36931823,31456843418.65266
2017-12-09 09:00:00,564200.0,596000.0,517500.0,553500.0,92933.67858825,52303106319.450356
2017-12-10 09:00:00,553500.0,558700.0,446400.0,504000.0,113385.90009754,55187763671.883865
2017-12-11 09:00:00,504000.0,594400.0,503800.0,587500.0,44329.88220584,24120899545.07942
2017-12-12 09:00:00,587700.0,765700.0,559700.0,705000.0,257057.31791587,171450603166.8757
2017-12-13 09:00:00,705000.0,820000.0,640000.0,782000.0,203067.20356375,151763450686.4615
2017-12-14 09:00:00,782000.0,844800.0,740900.0,784900.0,199806.40847771,159804297952.22073
2017-12-15 09:00:00,784500.0,802000.0,718000.0,772100.0,109368.6069023,83633681503.15564
2017-12-16 09:00:00,772200.0,817800.0,770000.0,788600.0,67179.43957983,53015218882.91309
2017-12-17 09:00:00,788900.0,826100.0,778600.0,815200.0,50452.98977698,40862076119.07482
2017-12-18 09:00:00,815200.0,941300.0,785100.0,918500.0,81029.22650739,68952589688.77046
2017-12-19 09:00:00,918500.0,1080000.0,909100.0,1027500.0,99286.20032057,99010131248.93898
2017-12-20 09:00:00,1025000.0,1099500.0,970500.0,1088500.0,105577.11609644,109365748087.64757
2017-12-21 09:00:00,1088500.0,1192500.0,1027000.0,1114500.0,128669.0644924,143636032948.0977
2017-12-22 09:00:00,1115000.0,1143000.0,735100.0,909900.0,149031.08312105,138397427312.6189
2017-12-23 09:00:00,910000.0,1002000.0,892100.0,983500.0,92848.49795573,89345454777.02261
2017-12-24 09:00:00,983400.0,992000.0,889800.0,961200.0,60261.79310267,56337889494.52299
2017-12-25 09:00:00,961200.0,1040000.0,930000.0,1035000.0,101237.54349357,102102565273.13524
2017-12-26 09:00:00,1035000.0,1067000.0,1020500.0,1040500.0,75684.04933426,79241528253.8354
2017-12-27 09:00:00,1040500.0,1053000.0,1026500.0,1048000.0,50522.02384649,52686294171.92513
2017-12-28 09:00:00,1048500.0,1050000.0,890000.0,969000.0,64674.35275327,63034369898.21895
2017-12-29 09:00:00,969000.0,997600.0,931800.0,984000.0,61181.08286597,59107239290.746994
2017-12-30 09:00:00,984000.0,1029500.0,955800.0,1010500.0,82553.45552406,81650695118.65196
2017-12-31 09:00:00,1012500.0,1039000.0,1000000.0,1026000.0,46480.9335155,47222524917.62479
2018-01-01 09:00:00,1028000.0,1076000.0,1011500.0,1057000.0,51315.57115643,53817934500.74928
2018-01-02 09:00:00,1056500.0,1270500.0,1051000.0,1177000.0,158481.28930076,188639744871.44843
2018-01-03 09:00:00,1177000.0,1324500.0,1157500.0,1295500.0,83430.94430424,100992238250.15219
2018-01-04 09:00:00,1295500.0,1518000.0,1269000.0,1439500.0,97018.95598114,134663436969.14218
2018-01-05 09:00:00,1439500.0,1645000.0,1406500.0,1554500.0,109665.85466932,168340868558.0459
2018-01-06 09:00:00,1555000.0,1629500.0,1460000.0,1570000.0,81685.85951232,126231733820.57639
2018-01-07 09:00:00,1570000.0,1790000.0,1542000.0,1786500.0,89819.86144847,150285116859.73627
2018-01-08 09:00:00,1786500.0,2056000.0,1670500.0,1902500.0,285143.3339968,539968188091.7499
2018-01-09 09:00:00,1900000.0,2222000.0,1832000.0,2142000.0,201889.5638267,399430067462.3144
2018-01-10 09:00:00,2142000.0,2437000.0,1615000.0,1793500.0,407964.25822683,855315308029.5758
2018-01-11 09:00:00,1798000.0,1956000.0,1250000.0,1665000.0,428671.60348322,739794048477.2843
2018-01-12 09:00:00,1665000.0,1923000.0,1535000.0,1900000.0,267529.26052239,467800102585.867
2018-01-13 09:00:00,1900000.0,2125000.0,1821000.0,2055000.0,176010.35078677,345786146086.1233
2018-01-14 09:00:00,2050000.0,2056000.0,1770000.0,1907000.0,147004.63637911,278851040031.99097
2018-01-15 09:00:00,1907000.0,2016000.0,1764500.0,1792500.0,130065.70858937,242740077956.1953
2018-01-16 09:00:00,1791000.0,1799500.0,999000.0,1312000.0,279927.2918947,410956506322.0662
2018-01-17 09:00:00,1312000.0,1456500.0,1000500.0,1370000.0,274443.55467532,331204580795.03064
2018-01-18 09:00:00,1369500.0,1499500.0,1210000.0,1340000.0,198898.47147337,266882370107.37192
2018-01-19 09:00:00,1339500.0,1410000.0,1307500.0,1383500.0,101022.63143703,137231790759.07109
2018-01-20 09:00:00,1383500.0,1527000.0,1369000.0,1516000.0,144425.8138511,212449023826.0056
2018-01-21 09:00:00,1515000.0,1545000.0,1228000.0,1324500.0,137967.73189318,186799767134.55185
2018-01-22 09:00:00,1324500.0,1349500.0,1179000.0,1285000.0,80317.26387453,102363382258.19934
2018-01-23 09:00:00,1284000.0,1295000.0,1125500.0,1192500.0,83759.88707788,100618793297.59303
2018-01-24 09:00:00,1192500.0,1309500.0,1148000.0,1260500.0,161996.26730756,198396633176.55115
2018-01-25 09:00:00,1260500.0,1310000.0,1191500.0,1216500.0,117794.4419152,147404338041.90692
2018-01-26 09:00:00,1217000.0,1270000.0,1100000.0,1216500.0,120644.39073172,143548276840.4724
2018-01-27 09:00:00,1217000.0,1267000.0,1169000.0,1247500.0,67961.7897193,82588948291.58229
2018-01-28 09:00:00,1247500.0,1434000.0,1240000.0,1395500.0,312434.10348288,426210475960.67065
2018-01-29 09:00:00,1395500.0,1418000.0,1302000.0,1341000.0,140905.43722875,191352444077.70538
2018-01-30 09:00:00,1341500.0,1360000.0,1200000.0,1233000.0,139853.455051,181197415366.50427
2018-01-31 09:00:00,1234000.0,1274000.0,1111000.0,1257500.0,145418.69598969,175547590684.47302
2018-02-01 09:00:00,1257000.0,1305500.0,1113500.0,1135000.0,233566.57502432,288202964035.0228
2018-02-02 09:00:00,1135000.0,1140000.0,759400.0,977800.0,551966.37829317,524511722412.44293
2018-02-03 09:00:00,977800.0,1075000.0,879000.0,999600.0,217797.33826434,211573907984.43814
2018-02-04 09:00:00,999600.0,1048000.0,881000.0,904000.0,119432.25528168,116724894927.59915
2018-02-05 09:00:00,904000.0,940300.0,761600.0,787700.0,146564.18156197,124608100075.14171
2018-02-06 09:00:00,787700.0,888500.0,626100.0,876700.0,345079.07520496,258000657590.72604
